R,G,B,Y
0.964985994,1,0.974789916,0
0.952654232,1,0.968436155,0
0.958702065,1,0.985250737,0
0.959885387,1,0.971346705,0
0.94751773,1,0.963120567,0
0.949509116,1,0.943899018,0
0.95942029,1,0.960869565,0
0.9455081,1,0.966126657,0
0.983823529,1,0.952941176,0
0.947901592,1,0.965267728,0
0.945945946,1,0.977477477,0
0.951070336,1,0.972477064,0
0.907330567,1,0.970954357,0
0.948033708,1,0.966292135,0
0.944285714,1,0.962857143,0
0.949295775,1,0.969014085,0
0.97733711,1,0.946175637,0
0.958213256,1,0.956772334,0
0.958395245,1,0.968796434,0
0.961708395,1,0.967599411,0
0.95942029,1,0.957971014,0
0.944687045,1,0.96069869,0
0.944193062,1,0.978883861,0
0.951111111,1,0.958518519,0
0.953010279,1,0.958883994,0
0.942771084,1,0.97439759,0
0.954614221,1,0.969742814,0
0.957227139,1,0.963126844,0
0.950524738,1,0.964017991,0
0.959090909,1,0.971212121,0
0.941348974,1,0.970674487,0
0.950892857,1,0.96577381,0
0.952167414,1,0.959641256,0
0.94648318,1,0.986238532,0
0.963691377,1,0.960665658,0
0.943536404,1,0.964338782,0
0.960305344,1,0.977099237,0
0.958333333,1,0.974702381,0
0.95601173,1,0.95601173,0
0.969924812,1,0.969924812,0
0.95037594,1,0.971428571,0
0.944108761,1,0.96978852,0
0.952522255,1,0.964391691,0
0.951111111,1,0.967407407,0
0.958702065,1,0.961651917,0
0.956716418,1,0.970149254,0
0.96257485,1,0.971556886,0
0.954478708,1,0.958883994,0
0.959580838,1,0.958083832,0
0.943452381,1,0.962797619,0
0.94887218,1,0.972932331,0
0.966463415,1,0.971036585,0
0.949025487,1,0.968515742,0
0.947447447,1,0.975975976,0
0.953242836,1,0.974358974,0
0.955156951,1,0.965620329,0
0.950819672,1,0.961251863,0
0.955156951,1,0.967115097,0
0.948484848,1,0.977272727,0
0.944277108,1,0.969879518,0
0.963909774,1,0.962406015,0
0.962852897,1,0.964338782,0
0.955489614,1,0.964391691,0
0.948948949,1,0.965465465,0
0.946348733,1,0.970193741,0
0.951183432,1,0.967455621,0
0.96069869,1,0.96797671,0
0.965014577,1,0.969387755,0
0.946915352,1,0.959827834,0
0.956076135,1,0.97510981,0
0.957540264,1,0.973645681,0
0.956458636,1,0.960812772,0
0.956140351,1,0.963450292,0
0.954810496,1,0.960641399,0
0.950146628,1,0.970674487,0
0.961595273,1,0.971935007,0
0.941089838,1,0.972017673,0
0.953010279,1,0.967694567,0
0.962908012,1,0.965875371,0
0.958823529,1,0.972058824,0
0.952654232,1,0.965566714,0
0.951909477,1,0.954738331,0
0.961593172,1,0.958748222,0
0.963235294,1,0.966176471,0
0.955357143,1,0.974702381,0
0.958271237,1,0.97466468,0
0.953592814,1,0.973053892,0
0.945864662,1,0.969924812,0
0.95045045,1,0.96996997,0
0.950301205,1,0.965361446,0
0.953172205,1,0.968277946,0
0.950301205,1,0.971385542,0
0.959398496,1,0.972932331,0
0.953383459,1,0.969924812,0
0.949924127,1,0.974203338,0
0.943683409,1,0.97564688,0
0.949541284,1,0.975535168,0
0.952599388,1,0.974006116,0
0.952671756,1,0.974045802,0
0.952599388,1,0.974006116,0
0.949541284,1,0.972477064,0
0.958139535,1,0.975193798,0
0.951863354,1,0.986024845,0
0.949695122,1,0.972560976,0
0.958397535,1,0.978428351,0
0.951937984,1,0.976744186,0
0.950387597,1,0.978294574,0
0.947530864,1,0.972222222,0
0.947368421,1,0.975232198,0
0.944272446,1,0.973684211,0
0.944186047,1,0.976744186,0
0.944358578,1,0.975270479,0
0.950310559,1,0.968944099,0
0.948837209,1,0.984496124,0
0.944117647,1,0.960294118,0
0.945266272,1,0.967455621,0
0.943198804,1,0.967115097,0
0.946107784,1,0.965568862,0
0.945987654,1,0.972222222,0
0.953775039,1,0.969183359,0
0.945652174,1,0.98136646,0
0.947449768,1,0.973724884,0
0.949152542,1,0.973805855,0
0.951713396,1,0.976635514,0
0.949152542,1,0.949152542,0
0.932515337,1,0.960122699,0
0.947867299,1,0.984202212,0
0.943661972,1,0.979655712,0
0.938967136,1,0.979655712,0
0.947867299,1,0.981042654,0
0.947368421,1,0.984051037,0
0.942583732,1,0.980861244,0
0.944620253,1,0.977848101,0
0.944356121,1,0.979332273,0
0.952,1,0.984,0
0.939968404,1,0.984202212,0
0.931034483,1,0.979623824,0
0.951845907,1,0.982343499,0
0.940251572,1,0.97327044,0
0.945945946,1,0.980922099,0
0.948470209,1,0.977455717,0
0.933441558,1,0.978896104,0
0.931818182,1,0.98538961,0
0.943181818,1,0.982142857,0
0.93485342,1,0.983713355,0
0.935379645,1,0.983844911,0
0.940226171,1,0.982229402,0
0.936688312,1,0.998376623,0
0.933649289,1,0.974723539,0
0.934083601,1,0.98392283,0
0.945901639,0.98852459,1,0
0.942307692,1,0.979166667,0
